"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-08-01"," 57.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-09-01"," 52.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-10-01"," 47.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-11-01"," 47.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-12-01"," 34.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-01-01"," 51.6","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-02-01"," 53.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-03-01"," 59.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-04-01"," 51.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-05-01"," 65.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-06-01"," 57.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-07-01"," 58.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-08-01"," 59.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-09-01"," 52.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-10-01"," 50.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-11-01"," 47.6","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2012-12-01"," 32.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-01-01"," 51.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-02-01"," 51.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-03-01"," 56.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-04-01"," 57.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-05-01"," 66.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-06-01"," 55.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-07-01"," 61.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-08-01"," 58.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-09-01"," 53.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-10-01"," 53.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-11-01"," 52.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2013-12-01"," 36.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-01-01"," 62.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-02-01"," 58.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-03-01"," 62.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-04-01"," 57.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-05-01"," 69.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-06-01"," 62.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-07-01"," 63.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-08-01"," 58.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-09-01"," 60.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-10-01"," 58.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-11-01"," 52.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2014-12-01"," 41.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-01-01"," 60.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-02-01"," 60.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-03-01"," 71.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-04-01"," 65.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-05-01"," 69.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-06-01"," 65.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-07-01"," 72.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-08-01"," 65.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-09-01"," 67.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-10-01"," 65.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-11-01"," 62.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2015-12-01"," 46.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-01-01"," 67.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-02-01"," 68.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-03-01"," 76.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-04-01"," 71.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-05-01"," 82.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-06-01"," 77.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-07-01"," 76.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-08-01"," 78.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-09-01"," 72.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-10-01"," 66.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-11-01"," 68.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2016-12-01"," 49.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-01-01"," 69.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-02-01"," 72.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-03-01"," 84.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-04-01"," 66.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-05-01"," 86.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-06-01"," 77.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-07-01"," 75.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-08-01"," 79.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-09-01"," 69.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-10-01"," 69.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-11-01"," 67.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2017-12-01"," 48.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-01-01"," 73.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-02-01"," 74.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-03-01"," 82.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-04-01"," 77.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-05-01"," 89.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-06-01"," 77.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-07-01"," 81.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-08-01"," 83.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-09-01"," 73.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-10-01"," 77.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-11-01"," 73.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2018-12-01"," 46.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-01-01"," 79.6","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-02-01"," 78.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-03-01"," 80.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-04-01"," 74.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-05-01"," 87.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-06-01"," 74.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-07-01"," 81.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-08-01"," 78.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-09-01"," 73.6","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-10-01"," 73.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-11-01"," 67.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2019-12-01"," 48.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-01-01"," 79.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-02-01"," 72.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-03-01"," 54.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-04-01"," 17.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-05-01"," 32.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-06-01"," 43.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-07-01"," 54.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-08-01"," 48.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-09-01"," 56.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-10-01"," 57.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-11-01"," 60.6","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2020-12-01"," 49.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2021-01-01"," 68.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2007-05-01","100.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2007-06-01"," 92.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2007-07-01"," 96.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2007-08-01","107.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2007-09-01","103.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2007-10-01","105.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2007-11-01","116.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2007-12-01"," 93.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-01-01","127.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-02-01","135.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-03-01","127.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-04-01","132.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-05-01","136.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-06-01","135.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-07-01","139.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-08-01","132.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-09-01","138.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-10-01","123.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-11-01","102.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2008-12-01"," 81.6","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-01-01"," 86.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-02-01"," 72.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-03-01"," 72.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-04-01"," 62.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-05-01"," 65.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-06-01"," 58.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-07-01"," 60.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-08-01"," 60.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-09-01"," 70.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-10-01"," 66.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-11-01"," 58.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2009-12-01"," 44.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2010-01-01"," 68.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2010-02-01"," 69.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2010-03-01"," 79.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2010-04-01"," 71.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2010-05-01"," 78.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Construction and engineering","Construction and engineering","2010-06-01"," 77.1","Index","12-02-21"
